problem_type,x,y,question,solution
multiplication,364,538,What is 364 times 538 mod 1000?,832
square_mod,270,41,What is 270^2 mod 41?,2
bitwise_and,735,386,What is 735 AND 386?,130
bitwise_and,938,951,What is 938 AND 951?,930
bitwise_and,435,902,What is 435 AND 902?,386
addition,87,984,What is 87 plus 984?,1071
addition,465,158,What is 465 plus 158?,623
bitwise_and,341,475,What is 341 AND 475?,337
bitwise_or,234,168,What is 234 OR 168?,234
square_mod,956,394,What is 956^2 mod 394?,250
bitwise_xor,658,737,What is 658 XOR 737?,115
square_mod,864,251,What is 864^2 mod 251?,22
addition,305,600,What is 305 plus 600?,905
addition,421,230,What is 421 plus 230?,651
square_mod,908,623,What is 908^2 mod 623?,235
multiplication,722,31,What is 722 times 31 mod 1000?,382
division,822,699,What is 822 // 699?,1
bitwise_and,413,208,What is 413 AND 208?,144
gcd,197,378,What is the GCD of 197 and 378?,1
bitwise_xor,928,394,What is 928 XOR 394?,554
lcm,50,692,What is the LCM of 50 and 692 mod 1000?,300
lcm,165,778,What is the LCM of 165 and 778 mod 1000?,370
gcd,255,961,What is the GCD of 255 and 961?,1
addition,521,148,What is 521 plus 148?,669
division,450,115,What is 450 // 115?,3
square_mod,742,579,What is 742^2 mod 579?,514
multiplication,144,617,What is 144 times 617 mod 1000?,848
lcm,849,455,What is the LCM of 849 and 455 mod 1000?,295
multiplication,840,983,What is 840 times 983 mod 1000?,720
division,145,30,What is 145 // 30?,4
gcd,988,825,What is the GCD of 988 and 825?,1
multiplication,282,71,What is 282 times 71 mod 1000?,22
square_mod,152,105,What is 152^2 mod 105?,4
bitwise_and,764,264,What is 764 AND 264?,8
addition,878,798,What is 878 plus 798?,1676
bitwise_xor,791,764,What is 791 XOR 764?,491
bitwise_or,173,565,What is 173 OR 565?,701
lcm,112,756,What is the LCM of 112 and 756 mod 1000?,24
division,935,25,What is 935 // 25?,37
bitwise_and,68,820,What is 68 AND 820?,4
gcd,529,602,What is the GCD of 529 and 602?,1
bitwise_xor,782,103,What is 782 XOR 103?,873
modulo,905,55,What is 905 mod 55?,25
multiplication,743,69,What is 743 times 69 mod 1000?,267
addition,758,405,What is 758 plus 405?,1163
gcd,814,617,What is the GCD of 814 and 617?,1
square_mod,976,821,What is 976^2 mod 821?,216
division,938,788,What is 938 // 788?,1
bitwise_and,389,414,What is 389 AND 414?,388
modulo,619,14,What is 619 mod 14?,3
bitwise_xor,447,700,What is 447 XOR 700?,771
bitwise_or,581,410,What is 581 OR 410?,991
gcd,213,639,What is the GCD of 213 and 639?,213
bitwise_xor,118,663,What is 118 XOR 663?,737
square_mod,875,684,What is 875^2 mod 684?,229
modulo,734,350,What is 734 mod 350?,34
bitwise_xor,16,374,What is 16 XOR 374?,358
bitwise_or,128,865,What is 128 OR 865?,993
addition,864,496,What is 864 plus 496?,1360
modulo,453,244,What is 453 mod 244?,209
bitwise_xor,179,474,What is 179 XOR 474?,361
bitwise_and,587,968,What is 587 AND 968?,584
bitwise_or,728,223,What is 728 OR 223?,735
lcm,491,532,What is the LCM of 491 and 532 mod 1000?,212
square_mod,894,145,What is 894^2 mod 145?,141
modulo,400,11,What is 400 mod 11?,4
modulo,638,235,What is 638 mod 235?,168
bitwise_and,509,282,What is 509 AND 282?,280
modulo,842,69,What is 842 mod 69?,14
multiplication,558,107,What is 558 times 107 mod 1000?,706
bitwise_and,175,126,What is 175 AND 126?,46
multiplication,347,294,What is 347 times 294 mod 1000?,18
bitwise_or,271,751,What is 271 OR 751?,1007
division,374,296,What is 374 // 296?,1
bitwise_xor,152,480,What is 152 XOR 480?,376
addition,222,998,What is 222 plus 998?,1220
modulo,984,641,What is 984 mod 641?,343
multiplication,921,432,What is 921 times 432 mod 1000?,872
division,132,5,What is 132 // 5?,26
modulo,479,186,What is 479 mod 186?,107
multiplication,204,797,What is 204 times 797 mod 1000?,588
bitwise_and,296,860,What is 296 AND 860?,264
division,721,226,What is 721 // 226?,3
division,761,615,What is 761 // 615?,1
bitwise_and,785,971,What is 785 AND 971?,769
bitwise_or,707,682,What is 707 OR 682?,747
lcm,754,267,What is the LCM of 754 and 267 mod 1000?,318
bitwise_and,911,211,What is 911 AND 211?,131
addition,281,851,What is 281 plus 851?,1132
bitwise_and,486,599,What is 486 AND 599?,70
modulo,600,420,What is 600 mod 420?,180
gcd,542,753,What is the GCD of 542 and 753?,1
lcm,650,621,What is the LCM of 650 and 621 mod 1000?,650
division,799,500,What is 799 // 500?,1
lcm,893,688,What is the LCM of 893 and 688 mod 1000?,384
square_mod,903,422,What is 903^2 mod 422?,105
addition,269,681,What is 269 plus 681?,950
modulo,940,392,What is 940 mod 392?,156
addition,227,215,What is 227 plus 215?,442
bitwise_or,691,878,What is 691 OR 878?,1023
addition,815,720,What is 815 plus 720?,1535
lcm,929,933,What is the LCM of 929 and 933 mod 1000?,757
square_mod,651,358,What is 651^2 mod 358?,287
bitwise_xor,768,533,What is 768 XOR 533?,277
addition,594,826,What is 594 plus 826?,1420
square_mod,281,57,What is 281^2 mod 57?,16
square_mod,856,32,What is 856^2 mod 32?,0
multiplication,216,436,What is 216 times 436 mod 1000?,176
square_mod,939,506,What is 939^2 mod 506?,269
multiplication,531,430,What is 531 times 430 mod 1000?,330
gcd,701,779,What is the GCD of 701 and 779?,1
bitwise_or,526,549,What is 526 OR 549?,559
square_mod,423,233,What is 423^2 mod 233?,218
multiplication,921,36,What is 921 times 36 mod 1000?,156
multiplication,416,156,What is 416 times 156 mod 1000?,896
bitwise_and,854,151,What is 854 AND 151?,22
bitwise_and,928,692,What is 928 AND 692?,672
bitwise_xor,716,448,What is 716 XOR 448?,780
square_mod,890,834,What is 890^2 mod 834?,634
bitwise_xor,686,566,What is 686 XOR 566?,152
addition,650,371,What is 650 plus 371?,1021
square_mod,940,815,What is 940^2 mod 815?,140
multiplication,707,295,What is 707 times 295 mod 1000?,565
modulo,999,545,What is 999 mod 545?,454
bitwise_or,734,19,What is 734 OR 19?,735
square_mod,804,569,What is 804^2 mod 569?,32
bitwise_or,689,122,What is 689 OR 122?,763
addition,188,542,What is 188 plus 542?,730
lcm,166,424,What is the LCM of 166 and 424 mod 1000?,192
bitwise_and,143,520,What is 143 AND 520?,8
bitwise_and,687,864,What is 687 AND 864?,544
bitwise_and,488,454,What is 488 AND 454?,448
division,897,894,What is 897 // 894?,1
square_mod,550,129,What is 550^2 mod 129?,124
lcm,232,134,What is the LCM of 232 and 134 mod 1000?,544
square_mod,828,526,What is 828^2 mod 526?,206
bitwise_xor,660,992,What is 660 XOR 992?,372
square_mod,706,601,What is 706^2 mod 601?,207
lcm,396,22,What is the LCM of 396 and 22 mod 1000?,396
bitwise_xor,253,319,What is 253 XOR 319?,450
square_mod,117,98,What is 117^2 mod 98?,67
gcd,142,781,What is the GCD of 142 and 781?,71
modulo,166,39,What is 166 mod 39?,10
square_mod,978,620,What is 978^2 mod 620?,444
lcm,128,337,What is the LCM of 128 and 337 mod 1000?,136
addition,818,690,What is 818 plus 690?,1508
multiplication,576,56,What is 576 times 56 mod 1000?,256
bitwise_or,772,898,What is 772 OR 898?,902
addition,585,778,What is 585 plus 778?,1363
modulo,831,360,What is 831 mod 360?,111
bitwise_or,986,163,What is 986 OR 163?,1019
square_mod,511,482,What is 511^2 mod 482?,359
modulo,809,335,What is 809 mod 335?,139
gcd,946,146,What is the GCD of 946 and 146?,2
gcd,201,164,What is the GCD of 201 and 164?,1
bitwise_xor,856,509,What is 856 XOR 509?,677
addition,439,975,What is 439 plus 975?,1414
multiplication,234,312,What is 234 times 312 mod 1000?,8
bitwise_or,658,795,What is 658 OR 795?,923
bitwise_and,867,933,What is 867 AND 933?,801
gcd,749,742,What is the GCD of 749 and 742?,7
bitwise_xor,882,391,What is 882 XOR 391?,757
lcm,374,788,What is the LCM of 374 and 788 mod 1000?,356
gcd,421,446,What is the GCD of 421 and 446?,1
bitwise_and,286,659,What is 286 AND 659?,18
addition,45,800,What is 45 plus 800?,845
square_mod,989,563,What is 989^2 mod 563?,190
multiplication,82,309,What is 82 times 309 mod 1000?,338
bitwise_or,464,267,What is 464 OR 267?,475
modulo,428,390,What is 428 mod 390?,38
bitwise_or,891,168,What is 891 OR 168?,1019
bitwise_and,621,369,What is 621 AND 369?,97
modulo,842,520,What is 842 mod 520?,322
modulo,728,57,What is 728 mod 57?,44
bitwise_or,958,729,What is 958 OR 729?,1023
bitwise_and,516,635,What is 516 AND 635?,512
modulo,908,181,What is 908 mod 181?,3
bitwise_or,879,815,What is 879 OR 815?,879
division,802,538,What is 802 // 538?,1
bitwise_xor,847,49,What is 847 XOR 49?,894
gcd,372,996,What is the GCD of 372 and 996?,12
square_mod,970,432,What is 970^2 mod 432?,4
bitwise_and,394,642,What is 394 AND 642?,130
square_mod,428,264,What is 428^2 mod 264?,232
gcd,296,633,What is the GCD of 296 and 633?,1
bitwise_and,229,650,What is 229 AND 650?,128
division,158,53,What is 158 // 53?,2
bitwise_xor,327,812,What is 327 XOR 812?,619
bitwise_and,873,304,What is 873 AND 304?,288
addition,861,381,What is 861 plus 381?,1242
lcm,343,140,What is the LCM of 343 and 140 mod 1000?,860
multiplication,820,911,What is 820 times 911 mod 1000?,20
bitwise_xor,984,732,What is 984 XOR 732?,260
multiplication,151,131,What is 151 times 131 mod 1000?,781
bitwise_and,550,641,What is 550 AND 641?,512
bitwise_or,827,607,What is 827 OR 607?,895
lcm,553,858,What is the LCM of 553 and 858 mod 1000?,474
bitwise_and,445,872,What is 445 AND 872?,296
square_mod,477,31,What is 477^2 mod 31?,20
square_mod,508,18,What is 508^2 mod 18?,16
addition,918,845,What is 918 plus 845?,1763
square_mod,947,79,What is 947^2 mod 79?,1
modulo,668,355,What is 668 mod 355?,313
gcd,223,587,What is the GCD of 223 and 587?,1
modulo,435,59,What is 435 mod 59?,22
gcd,408,997,What is the GCD of 408 and 997?,1
gcd,622,793,What is the GCD of 622 and 793?,1
division,781,40,What is 781 // 40?,19
gcd,918,467,What is the GCD of 918 and 467?,1
multiplication,554,139,What is 554 times 139 mod 1000?,6
gcd,232,227,What is the GCD of 232 and 227?,1
division,711,221,What is 711 // 221?,3
bitwise_or,883,843,What is 883 OR 843?,891
bitwise_and,134,100,What is 134 AND 100?,4
lcm,727,911,What is the LCM of 727 and 911 mod 1000?,297
bitwise_or,332,227,What is 332 OR 227?,495
gcd,290,408,What is the GCD of 290 and 408?,2
modulo,680,184,What is 680 mod 184?,128
division,300,168,What is 300 // 168?,1
bitwise_and,316,876,What is 316 AND 876?,300
addition,503,848,What is 503 plus 848?,1351
division,772,581,What is 772 // 581?,1
bitwise_and,75,9,What is 75 AND 9?,9
lcm,816,833,What is the LCM of 816 and 833 mod 1000?,984
bitwise_xor,143,12,What is 143 XOR 12?,131
bitwise_and,646,900,What is 646 AND 900?,644
lcm,633,345,What is the LCM of 633 and 345 mod 1000?,795
square_mod,821,580,What is 821^2 mod 580?,81
modulo,746,183,What is 746 mod 183?,14
gcd,795,41,What is the GCD of 795 and 41?,1
addition,66,283,What is 66 plus 283?,349
gcd,851,926,What is the GCD of 851 and 926?,1
modulo,587,77,What is 587 mod 77?,48
division,976,296,What is 976 // 296?,3
addition,300,120,What is 300 plus 120?,420
modulo,896,476,What is 896 mod 476?,420
bitwise_xor,101,462,What is 101 XOR 462?,427
bitwise_or,26,85,What is 26 OR 85?,95
bitwise_xor,823,372,What is 823 XOR 372?,579
multiplication,457,897,What is 457 times 897 mod 1000?,929
multiplication,747,828,What is 747 times 828 mod 1000?,516
square_mod,407,57,What is 407^2 mod 57?,7
bitwise_and,455,278,What is 455 AND 278?,262
bitwise_or,465,356,What is 465 OR 356?,501
bitwise_xor,373,623,What is 373 XOR 623?,794
multiplication,119,818,What is 119 times 818 mod 1000?,342
bitwise_or,720,550,What is 720 OR 550?,758
bitwise_and,803,951,What is 803 AND 951?,803
modulo,805,81,What is 805 mod 81?,76
square_mod,934,757,What is 934^2 mod 757?,292
bitwise_or,447,493,What is 447 OR 493?,511
bitwise_or,860,287,What is 860 OR 287?,863
square_mod,805,297,What is 805^2 mod 297?,268
division,103,36,What is 103 // 36?,2
modulo,387,2,What is 387 mod 2?,1
square_mod,683,242,What is 683^2 mod 242?,155
lcm,996,342,What is the LCM of 996 and 342 mod 1000?,772
bitwise_xor,725,917,What is 725 XOR 917?,320
square_mod,269,37,What is 269^2 mod 37?,26
lcm,374,65,What is the LCM of 374 and 65 mod 1000?,310
lcm,130,355,What is the LCM of 130 and 355 mod 1000?,230
bitwise_or,253,531,What is 253 OR 531?,767
lcm,476,421,What is the LCM of 476 and 421 mod 1000?,396
addition,78,108,What is 78 plus 108?,186
bitwise_or,428,865,What is 428 OR 865?,1005
bitwise_xor,224,30,What is 224 XOR 30?,254
addition,192,285,What is 192 plus 285?,477
square_mod,782,378,What is 782^2 mod 378?,298
division,552,207,What is 552 // 207?,2
division,951,125,What is 951 // 125?,7
addition,838,626,What is 838 plus 626?,1464
bitwise_xor,145,719,What is 145 XOR 719?,606
modulo,646,472,What is 646 mod 472?,174
lcm,895,230,What is the LCM of 895 and 230 mod 1000?,170
bitwise_xor,848,2,What is 848 XOR 2?,850
gcd,259,54,What is the GCD of 259 and 54?,1
multiplication,982,3,What is 982 times 3 mod 1000?,946
division,849,463,What is 849 // 463?,1
bitwise_xor,403,456,What is 403 XOR 456?,91
modulo,861,396,What is 861 mod 396?,69
bitwise_xor,615,863,What is 615 XOR 863?,312
modulo,916,68,What is 916 mod 68?,32
division,747,471,What is 747 // 471?,1
square_mod,523,379,What is 523^2 mod 379?,270
gcd,783,327,What is the GCD of 783 and 327?,3
bitwise_xor,898,547,What is 898 XOR 547?,417
bitwise_or,351,901,What is 351 OR 901?,991
modulo,556,67,What is 556 mod 67?,20
multiplication,607,217,What is 607 times 217 mod 1000?,719
square_mod,476,23,What is 476^2 mod 23?,3
modulo,410,303,What is 410 mod 303?,107
bitwise_and,770,867,What is 770 AND 867?,770
lcm,462,805,What is the LCM of 462 and 805 mod 1000?,130
division,898,547,What is 898 // 547?,1
square_mod,810,673,What is 810^2 mod 673?,598
square_mod,658,535,What is 658^2 mod 535?,149
square_mod,964,289,What is 964^2 mod 289?,161
modulo,681,621,What is 681 mod 621?,60
addition,203,765,What is 203 plus 765?,968
bitwise_or,63,192,What is 63 OR 192?,255
bitwise_or,781,214,What is 781 OR 214?,991
multiplication,40,250,What is 40 times 250 mod 1000?,0
bitwise_xor,570,454,What is 570 XOR 454?,1020
addition,574,229,What is 574 plus 229?,803
gcd,981,539,What is the GCD of 981 and 539?,1
gcd,936,949,What is the GCD of 936 and 949?,13
modulo,486,165,What is 486 mod 165?,156
gcd,238,482,What is the GCD of 238 and 482?,2
square_mod,968,342,What is 968^2 mod 342?,286
bitwise_or,389,857,What is 389 OR 857?,989
multiplication,868,518,What is 868 times 518 mod 1000?,624
lcm,391,640,What is the LCM of 391 and 640 mod 1000?,240
modulo,357,61,What is 357 mod 61?,52
addition,730,15,What is 730 plus 15?,745
division,246,142,What is 246 // 142?,1
bitwise_or,252,11,What is 252 OR 11?,255
division,622,204,What is 622 // 204?,3
bitwise_xor,354,348,What is 354 XOR 348?,62
modulo,576,189,What is 576 mod 189?,9
gcd,242,352,What is the GCD of 242 and 352?,22
gcd,533,710,What is the GCD of 533 and 710?,1
gcd,538,554,What is the GCD of 538 and 554?,2
division,912,561,What is 912 // 561?,1
gcd,895,187,What is the GCD of 895 and 187?,1
division,854,638,What is 854 // 638?,1
modulo,403,360,What is 403 mod 360?,43
division,317,200,What is 317 // 200?,1
division,719,424,What is 719 // 424?,1
bitwise_xor,424,26,What is 424 XOR 26?,434
addition,153,693,What is 153 plus 693?,846
bitwise_and,651,41,What is 651 AND 41?,9
bitwise_xor,537,645,What is 537 XOR 645?,156
addition,952,955,What is 952 plus 955?,1907
modulo,753,246,What is 753 mod 246?,15
modulo,226,25,What is 226 mod 25?,1
lcm,371,924,What is the LCM of 371 and 924 mod 1000?,972
multiplication,918,305,What is 918 times 305 mod 1000?,990
bitwise_and,715,537,What is 715 AND 537?,521
bitwise_or,477,757,What is 477 OR 757?,1021
modulo,462,271,What is 462 mod 271?,191
lcm,119,202,What is the LCM of 119 and 202 mod 1000?,38
lcm,662,289,What is the LCM of 662 and 289 mod 1000?,318
bitwise_xor,561,138,What is 561 XOR 138?,699
bitwise_or,522,424,What is 522 OR 424?,938
multiplication,904,489,What is 904 times 489 mod 1000?,56
addition,118,777,What is 118 plus 777?,895
addition,838,638,What is 838 plus 638?,1476
bitwise_xor,489,440,What is 489 XOR 440?,81
modulo,912,484,What is 912 mod 484?,428
bitwise_or,369,810,What is 369 OR 810?,891
lcm,105,377,What is the LCM of 105 and 377 mod 1000?,585
multiplication,175,216,What is 175 times 216 mod 1000?,800
bitwise_or,538,298,What is 538 OR 298?,826
modulo,440,139,What is 440 mod 139?,23
gcd,527,434,What is the GCD of 527 and 434?,31
addition,678,284,What is 678 plus 284?,962
lcm,73,963,What is the LCM of 73 and 963 mod 1000?,299
lcm,281,850,What is the LCM of 281 and 850 mod 1000?,850
bitwise_xor,115,753,What is 115 XOR 753?,642
division,528,462,What is 528 // 462?,1
bitwise_xor,759,739,What is 759 XOR 739?,20
bitwise_and,245,785,What is 245 AND 785?,17
division,309,262,What is 309 // 262?,1
gcd,873,878,What is the GCD of 873 and 878?,1
lcm,270,665,What is the LCM of 270 and 665 mod 1000?,910
modulo,508,310,What is 508 mod 310?,198
bitwise_or,76,546,What is 76 OR 546?,622
gcd,154,311,What is the GCD of 154 and 311?,1
bitwise_and,302,720,What is 302 AND 720?,0
gcd,874,985,What is the GCD of 874 and 985?,1
square_mod,745,161,What is 745^2 mod 161?,58
modulo,917,522,What is 917 mod 522?,395
bitwise_and,532,193,What is 532 AND 193?,0
bitwise_and,181,88,What is 181 AND 88?,16
multiplication,828,817,What is 828 times 817 mod 1000?,476
gcd,150,215,What is the GCD of 150 and 215?,5
addition,52,81,What is 52 plus 81?,133
bitwise_or,558,561,What is 558 OR 561?,575
addition,990,724,What is 990 plus 724?,1714
gcd,456,123,What is the GCD of 456 and 123?,3
bitwise_and,992,89,What is 992 AND 89?,64
bitwise_and,589,774,What is 589 AND 774?,516
lcm,470,267,What is the LCM of 470 and 267 mod 1000?,490
multiplication,153,627,What is 153 times 627 mod 1000?,931
gcd,137,802,What is the GCD of 137 and 802?,1
gcd,799,604,What is the GCD of 799 and 604?,1
modulo,341,166,What is 341 mod 166?,9
square_mod,672,524,What is 672^2 mod 524?,420
division,921,665,What is 921 // 665?,1
division,925,736,What is 925 // 736?,1
modulo,277,18,What is 277 mod 18?,7
bitwise_and,848,940,What is 848 AND 940?,768
square_mod,381,231,What is 381^2 mod 231?,93
bitwise_xor,446,46,What is 446 XOR 46?,400
multiplication,54,145,What is 54 times 145 mod 1000?,830
addition,931,40,What is 931 plus 40?,971
square_mod,766,744,What is 766^2 mod 744?,484
bitwise_and,150,321,What is 150 AND 321?,0
addition,537,630,What is 537 plus 630?,1167
addition,464,715,What is 464 plus 715?,1179
modulo,708,656,What is 708 mod 656?,52
lcm,490,976,What is the LCM of 490 and 976 mod 1000?,120
modulo,875,748,What is 875 mod 748?,127
division,500,498,What is 500 // 498?,1
bitwise_or,89,101,What is 89 OR 101?,125
modulo,528,385,What is 528 mod 385?,143
addition,526,240,What is 526 plus 240?,766
